Sexo;Ciclo;Habilidades TIC;Total
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;No usuario de las TIC;0,0
Ambos sexos;18 - ARTES GRÁFICAS;Total;100,0
Ambos sexos;18 - ARTES GRÁFICAS;Usuario experto;24,9
Ambos sexos;18 - ARTES GRÁFICAS;Usuario de nivel avanzado;69,0
Ambos sexos;18 - ARTES GRÁFICAS;Usuario de nivel básico;6,1
Ambos sexos;18 - ARTES GRÁFICAS;No usuario de las TIC;0,0
Ambos sexos;19 - IMAGEN Y SONIDO;Total;100,0
Ambos sexos;19 - IMAGEN Y SONIDO;Usuario experto;30,5
Ambos sexos;19 - IMAGEN Y SONIDO;Usuario de nivel avanzado;60,1
Ambos sexos;19 - IMAGEN Y SONIDO;Usuario de nivel básico;9,2
Ambos sexos;19 - IMAGEN Y SONIDO;No usuario de las TIC;0,2
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Total;100,0
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Usuario experto;40,1
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Usuario de nivel avanzado;55,2
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Usuario de nivel básico;4,7
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Total;100,0
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Usuario experto;28,2
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Usuario de nivel avanzado;61,4
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Usuario de nivel básico;10,5
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Total;100,0
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Usuario experto;32,5
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Usuario de nivel avanzado;59,0
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Usuario de nivel básico;8,6
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;No usuario de las TIC;0,0
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Total;100,0
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Usuario experto;24,1
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Usuario de nivel avanzado;63,5
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Usuario de nivel básico;11,7
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;No usuario de las TIC;0,6
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Total;100,0
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Usuario experto;93,1
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Usuario de nivel avanzado;6,4
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Usuario de nivel básico;0,6
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Total;100,0
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Usuario experto;90,0
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Usuario de nivel avanzado;9,0
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Usuario de nivel básico;1,1
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Total;100,0
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Usuario experto;97,1
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Usuario de nivel avanzado;2,8
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Usuario de nivel básico;0,1
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Total;100,0
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Usuario experto;95,2
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Usuario de nivel avanzado;4,8
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Usuario de nivel básico;0,0
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;No usuario de las TIC;0,0
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Total;100,0
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Usuario experto;21,8
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Usuario de nivel avanzado;69,0
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Usuario de nivel básico;9,2
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en asistencia a la dirección;Total;100,0
Ambos sexos;Técnico superior en asistencia a la dirección;Usuario experto;11,8
Ambos sexos;Técnico superior en asistencia a la dirección;Usuario de nivel avanzado;79,7
Ambos sexos;Técnico superior en asistencia a la dirección;Usuario de nivel básico;8,5
Ambos sexos;Técnico superior en asistencia a la dirección;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en administración y finanzas;Total;100,0
Ambos sexos;Técnico superior en administración y finanzas;Usuario experto;23,5
Ambos sexos;Técnico superior en administración y finanzas;Usuario de nivel avanzado;67,1
Ambos sexos;Técnico superior en administración y finanzas;Usuario de nivel básico;9,3
Ambos sexos;Técnico superior en administración y finanzas;No usuario de las TIC;0,0
Ambos sexos;22 - COMERCIO Y MARKETING;Total;100,0
Ambos sexos;22 - COMERCIO Y MARKETING;Usuario experto;19,1
Ambos sexos;22 - COMERCIO Y MARKETING;Usuario de nivel avanzado;71,1
Ambos sexos;22 - COMERCIO Y MARKETING;Usuario de nivel básico;9,6
Ambos sexos;22 - COMERCIO Y MARKETING;No usuario de las TIC;0,2
Ambos sexos;Técnico superior en comercio internacional;Total;100,0
Ambos sexos;Técnico superior en comercio internacional;Usuario experto;16,2
Ambos sexos;Técnico superior en comercio internacional;Usuario de nivel avanzado;73,0
Ambos sexos;Técnico superior en comercio internacional;Usuario de nivel básico;10,9
Ambos sexos;Técnico superior en comercio internacional;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en transporte y logística;Total;100,0
Ambos sexos;Técnico superior en transporte y logística;Usuario experto;18,5
Ambos sexos;Técnico superior en transporte y logística;Usuario de nivel avanzado;67,8
Ambos sexos;Técnico superior en transporte y logística;Usuario de nivel básico;12,2
Ambos sexos;Técnico superior en transporte y logística;No usuario de las TIC;1,4
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Total;100,0
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Usuario experto;20,4
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Usuario de nivel avanzado;71,0
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Usuario de nivel básico;8,6
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;No usuario de las TIC;0,0
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Total;100,0
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Usuario experto;6,2
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Usuario de nivel avanzado;69,0
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Usuario de nivel básico;24,8
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;No usuario de las TIC;0,1
Ambos sexos;Técnico superior en educación infantil;Total;100,0
Ambos sexos;Técnico superior en educación infantil;Usuario experto;5,7
Ambos sexos;Técnico superior en educación infantil;Usuario de nivel avanzado;70,4
Ambos sexos;Técnico superior en educación infantil;Usuario de nivel básico;24,0
Ambos sexos;Técnico superior en educación infantil;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en animación sociocultural y turística;Total;100,0
Ambos sexos;Técnico superior en animación sociocultural y turística;Usuario experto;11,8
Ambos sexos;Técnico superior en animación sociocultural y turística;Usuario de nivel avanzado;70,0
Ambos sexos;Técnico superior en animación sociocultural y turística;Usuario de nivel básico;18,2
Ambos sexos;Técnico superior en animación sociocultural y turística;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en integración social;Total;100,0
Ambos sexos;Técnico superior en integración social;Usuario experto;5,9
Ambos sexos;Técnico superior en integración social;Usuario de nivel avanzado;63,5
Ambos sexos;Técnico superior en integración social;Usuario de nivel básico;30,3
Ambos sexos;Técnico superior en integración social;No usuario de las TIC;0,2
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Total;100,0
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Usuario experto;4,5
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Usuario de nivel avanzado;76,4
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Usuario de nivel básico;19,0
